row_id,row_id_matched.x,participant,file,trial_index.x,trial_index.y,trial_index_matched,prop_correct.x,effort.x,reliability_index.x,reliability_index_n,reliability_index_play.x,reliability_effort_difference,row_id_matched.y,prop_correct.y,effort.y,reliability_index.y,reliability_index_play.y,duplicate
5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_clear_nm_h7_8_ch2_calibrated_noise5snr.wav,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_clear_nm_h7_8_ch2_calibrated_noise5snr.wav_231,5d1e2045a37a4d001a1fc2cb,sim_oc07_clear_nm_h7_8_ch2_calibrated_noise5snr,229,231,231,0.8,35,8-1,8,1,NA,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_clear_nm_h7_8_ch2_calibrated_noise5snr.wav_393,0.8,37,8-2,2,FALSE
5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_habitual_kn_h13_10_ch2_calibrated_noise5snr.wav,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_habitual_kn_h13_10_ch2_calibrated_noise5snr.wav_123,5d1e2045a37a4d001a1fc2cb,sim_oc07_habitual_kn_h13_10_ch2_calibrated_noise5snr,121,123,123,1,30,3-1,3,1,NA,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_habitual_kn_h13_10_ch2_calibrated_noise5snr.wav_303,1,21,3-2,2,FALSE
5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_habitual_kn_h13_2_ch2_calibrated_noise5snr.wav,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_habitual_kn_h13_2_ch2_calibrated_noise5snr.wav_195,5d1e2045a37a4d001a1fc2cb,sim_oc07_habitual_kn_h13_2_ch2_calibrated_noise5snr,193,195,195,1,42,10-1,10,1,NA,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_habitual_kn_h13_2_ch2_calibrated_noise5snr.wav_375,1,24,10-2,2,FALSE
5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_habitual_kn_h13_3_ch2_calibrated_noise5snr.wav,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_habitual_kn_h13_3_ch2_calibrated_noise5snr.wav_45,5d1e2045a37a4d001a1fc2cb,sim_oc07_habitual_kn_h13_3_ch2_calibrated_noise5snr,43,45,45,1,20,11-1,11,1,NA,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_habitual_kn_h13_3_ch2_calibrated_noise5snr.wav_213,1,34,11-2,2,FALSE
5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_habitual_nm_h12_7_ch2_calibrated_noise5snr.wav,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_habitual_nm_h12_7_ch2_calibrated_noise5snr.wav_57,5d1e2045a37a4d001a1fc2cb,sim_oc07_habitual_nm_h12_7_ch2_calibrated_noise5snr,55,57,57,1,53,12-1,12,1,NA,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_habitual_nm_h12_7_ch2_calibrated_noise5snr.wav_333,1,23,12-2,2,FALSE
5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_loud_kn_h10_1_ch2_calibrated_noise5snr.wav,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_loud_kn_h10_1_ch2_calibrated_noise5snr.wav_207,5d1e2045a37a4d001a1fc2cb,sim_oc07_loud_kn_h10_1_ch2_calibrated_noise5snr,205,207,207,0.8,36,4-1,4,1,NA,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_loud_kn_h10_1_ch2_calibrated_noise5snr.wav_429,0.8,30,4-2,2,FALSE
5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_loud_kn_h10_10_ch2_calibrated_noise5snr.wav,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_loud_kn_h10_10_ch2_calibrated_noise5snr.wav_99,5d1e2045a37a4d001a1fc2cb,sim_oc07_loud_kn_h10_10_ch2_calibrated_noise5snr,97,99,99,1,69,9-1,9,1,NA,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_loud_kn_h10_10_ch2_calibrated_noise5snr.wav_357,1,21,9-2,2,FALSE
5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_loud_kn_h10_3_ch2_calibrated_noise5snr.wav,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_loud_kn_h10_3_ch2_calibrated_noise5snr.wav_111,5d1e2045a37a4d001a1fc2cb,sim_oc07_loud_kn_h10_3_ch2_calibrated_noise5snr,109,111,111,0.8,36,7-1,7,1,NA,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_loud_kn_h10_3_ch2_calibrated_noise5snr.wav_399,0.8,25,7-2,2,FALSE
5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_loud_kn_h10_9_ch2_calibrated_noise5snr.wav,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_loud_kn_h10_9_ch2_calibrated_noise5snr.wav_219,5d1e2045a37a4d001a1fc2cb,sim_oc07_loud_kn_h10_9_ch2_calibrated_noise5snr,217,219,219,1,27,6-1,6,1,NA,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_loud_kn_h10_9_ch2_calibrated_noise5snr.wav_309,1,27,6-2,2,FALSE
5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_loud_nm_h18_3_ch2_calibrated_noise5snr.wav,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_loud_nm_h18_3_ch2_calibrated_noise5snr.wav_225,5d1e2045a37a4d001a1fc2cb,sim_oc07_loud_nm_h18_3_ch2_calibrated_noise5snr,223,225,225,1,30,2-1,2,1,NA,5d1e2045a37a4d001a1fc2cb ./audio/mask-recordings/playlist_05_oc07/sim_oc07_loud_nm_h18_3_ch2_calibrated_noise5snr.wav_363,0.8,26,2-2,2,FALSE
5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_clear_kn_h14_10_ch2_calibrated_noise5snr.wav,5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_clear_kn_h14_10_ch2_calibrated_noise5snr.wav_57,5d377c902c4f810001ebc27a,sim_oc16_clear_kn_h14_10_ch2_calibrated_noise5snr,55,57,57,1,47,10-1,10,1,NA,5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_clear_kn_h14_10_ch2_calibrated_noise5snr.wav_327,0.8,50,10-2,2,FALSE
5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_clear_kn_h14_4_ch2_calibrated_noise5snr.wav,5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_clear_kn_h14_4_ch2_calibrated_noise5snr.wav_249,5d377c902c4f810001ebc27a,sim_oc16_clear_kn_h14_4_ch2_calibrated_noise5snr,247,249,249,1,32,9-1,9,1,NA,5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_clear_kn_h14_4_ch2_calibrated_noise5snr.wav_393,1,46,9-2,2,FALSE
5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_habitual_nm_h2_1_ch2_calibrated_noise5snr.wav,5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_habitual_nm_h2_1_ch2_calibrated_noise5snr.wav_147,5d377c902c4f810001ebc27a,sim_oc16_habitual_nm_h2_1_ch2_calibrated_noise5snr,145,147,147,1,42,5-1,5,1,NA,5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_habitual_nm_h2_1_ch2_calibrated_noise5snr.wav_255,1,18,5-2,2,FALSE
5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_loud_kn_h4_7_ch2_calibrated_noise5snr.wav,5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_loud_kn_h4_7_ch2_calibrated_noise5snr.wav_105,5d377c902c4f810001ebc27a,sim_oc16_loud_kn_h4_7_ch2_calibrated_noise5snr,103,105,105,0,80,12-1,12,1,NA,5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_loud_kn_h4_7_ch2_calibrated_noise5snr.wav_213,0.2,60,12-2,2,FALSE
5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_loud_kn_h4_9_ch2_calibrated_noise5snr.wav,5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_loud_kn_h4_9_ch2_calibrated_noise5snr.wav_231,5d377c902c4f810001ebc27a,sim_oc16_loud_kn_h4_9_ch2_calibrated_noise5snr,229,231,231,0.2,64,8-1,8,1,NA,5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_loud_kn_h4_9_ch2_calibrated_noise5snr.wav_381,0.2,50,8-2,2,FALSE
5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_loud_nm_h10_5_ch2_calibrated_noise5snr.wav,5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_loud_nm_h10_5_ch2_calibrated_noise5snr.wav_183,5d377c902c4f810001ebc27a,sim_oc16_loud_nm_h10_5_ch2_calibrated_noise5snr,181,183,183,0.2,50,11-1,11,1,NA,5d377c902c4f810001ebc27a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_loud_nm_h10_5_ch2_calibrated_noise5snr.wav_345,0.8,50,11-2,2,FALSE
5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_clear_kn_h5_10_ch2_calibrated_noise5snr.wav,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_clear_kn_h5_10_ch2_calibrated_noise5snr.wav_57,5d453e8723a5bb0001492546,sim_pd12_clear_kn_h5_10_ch2_calibrated_noise5snr,55,57,57,0.4,58,9-1,9,1,NA,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_clear_kn_h5_10_ch2_calibrated_noise5snr.wav_279,0.6,56,9-2,2,FALSE
5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_clear_nm_h13_6_ch2_calibrated_noise5snr.wav,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_clear_nm_h13_6_ch2_calibrated_noise5snr.wav_195,5d453e8723a5bb0001492546,sim_pd12_clear_nm_h13_6_ch2_calibrated_noise5snr,193,195,195,0.4,63,11-1,11,1,NA,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_clear_nm_h13_6_ch2_calibrated_noise5snr.wav_423,0.2,39,11-2,2,FALSE
5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_clear_nm_h13_7_ch2_calibrated_noise5snr.wav,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_clear_nm_h13_7_ch2_calibrated_noise5snr.wav_39,5d453e8723a5bb0001492546,sim_pd12_clear_nm_h13_7_ch2_calibrated_noise5snr,37,39,39,0.2,57,8-1,8,1,NA,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_clear_nm_h13_7_ch2_calibrated_noise5snr.wav_297,0.8,14,8-2,2,FALSE
5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_kn_h16_1_ch2_calibrated_noise5snr.wav,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_kn_h16_1_ch2_calibrated_noise5snr.wav_147,5d453e8723a5bb0001492546,sim_pd12_habitual_kn_h16_1_ch2_calibrated_noise5snr,145,147,147,0,93,2-1,2,1,NA,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_kn_h16_1_ch2_calibrated_noise5snr.wav_417,0,98,2-2,2,FALSE
5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_kn_h16_3_ch2_calibrated_noise5snr.wav,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_kn_h16_3_ch2_calibrated_noise5snr.wav_51,5d453e8723a5bb0001492546,sim_pd12_habitual_kn_h16_3_ch2_calibrated_noise5snr,49,51,51,0.2,85,10-1,10,1,NA,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_kn_h16_3_ch2_calibrated_noise5snr.wav_405,0.4,92,10-2,2,FALSE
5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_kn_h16_4_ch2_calibrated_noise5snr.wav,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_kn_h16_4_ch2_calibrated_noise5snr.wav_135,5d453e8723a5bb0001492546,sim_pd12_habitual_kn_h16_4_ch2_calibrated_noise5snr,133,135,135,1,65,7-1,7,1,NA,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_kn_h16_4_ch2_calibrated_noise5snr.wav_369,0.4,42,7-2,2,FALSE
5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_kn_h16_6_ch2_calibrated_noise5snr.wav,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_kn_h16_6_ch2_calibrated_noise5snr.wav_153,5d453e8723a5bb0001492546,sim_pd12_habitual_kn_h16_6_ch2_calibrated_noise5snr,151,153,153,0.8,41,1-1,1,1,NA,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_kn_h16_6_ch2_calibrated_noise5snr.wav_261,0.6,46,1-2,2,FALSE
5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_nm_h10_5_ch2_calibrated_noise5snr.wav,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_nm_h10_5_ch2_calibrated_noise5snr.wav_231,5d453e8723a5bb0001492546,sim_pd12_habitual_nm_h10_5_ch2_calibrated_noise5snr,229,231,231,0.4,67,5-1,5,1,NA,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_nm_h10_5_ch2_calibrated_noise5snr.wav_321,0.6,60,5-2,2,FALSE
5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_nm_h10_6_ch2_calibrated_noise5snr.wav,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_nm_h10_6_ch2_calibrated_noise5snr.wav_219,5d453e8723a5bb0001492546,sim_pd12_habitual_nm_h10_6_ch2_calibrated_noise5snr,217,219,219,0.8,32,3-1,3,1,NA,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_habitual_nm_h10_6_ch2_calibrated_noise5snr.wav_393,0.8,8,3-2,2,FALSE
5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_loud_kn_h14_9_ch2_calibrated_noise5snr.wav,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_loud_kn_h14_9_ch2_calibrated_noise5snr.wav_105,5d453e8723a5bb0001492546,sim_pd12_loud_kn_h14_9_ch2_calibrated_noise5snr,103,105,105,0.4,78,6-1,6,1,NA,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_loud_kn_h14_9_ch2_calibrated_noise5snr.wav_333,0.4,62,6-2,2,FALSE
5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_loud_nm_h15_5_ch2_calibrated_noise5snr.wav,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_loud_nm_h15_5_ch2_calibrated_noise5snr.wav_267,5d453e8723a5bb0001492546,sim_pd12_loud_nm_h15_5_ch2_calibrated_noise5snr,265,267,267,0.4,80,4-1,4,1,NA,5d453e8723a5bb0001492546 ./audio/mask-recordings/playlist_16_pd12/sim_pd12_loud_nm_h15_5_ch2_calibrated_noise5snr.wav_429,0.4,76,4-2,2,FALSE
5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_clear_kn_h11_3_ch2_calibrated_noise5snr.wav,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_clear_kn_h11_3_ch2_calibrated_noise5snr.wav_111,5d4a41890e604c00011ade8b,sim_oc11_clear_kn_h11_3_ch2_calibrated_noise5snr,109,111,111,0.4,78,5-1,5,1,NA,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_clear_kn_h11_3_ch2_calibrated_noise5snr.wav_369,0.8,0,5-2,2,FALSE
5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_clear_nm_h6_5_ch2_calibrated_noise5snr.wav,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_clear_nm_h6_5_ch2_calibrated_noise5snr.wav_81,5d4a41890e604c00011ade8b,sim_oc11_clear_nm_h6_5_ch2_calibrated_noise5snr,79,81,81,0.8,18,2-1,2,1,NA,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_clear_nm_h6_5_ch2_calibrated_noise5snr.wav_423,0.6,35,2-2,2,FALSE
5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_clear_nm_h6_8_ch2_calibrated_noise5snr.wav,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_clear_nm_h6_8_ch2_calibrated_noise5snr.wav_87,5d4a41890e604c00011ade8b,sim_oc11_clear_nm_h6_8_ch2_calibrated_noise5snr,85,87,87,1,0,3-1,3,1,NA,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_clear_nm_h6_8_ch2_calibrated_noise5snr.wav_231,1,0,3-2,2,FALSE
5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_kn_h10_10_ch2_calibrated_noise5snr.wav,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_kn_h10_10_ch2_calibrated_noise5snr.wav_183,5d4a41890e604c00011ade8b,sim_oc11_habitual_kn_h10_10_ch2_calibrated_noise5snr,181,183,183,1,1,7-1,7,1,NA,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_kn_h10_10_ch2_calibrated_noise5snr.wav_375,1,0,7-2,2,FALSE
5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_kn_h10_2_ch2_calibrated_noise5snr.wav,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_kn_h10_2_ch2_calibrated_noise5snr.wav_159,5d4a41890e604c00011ade8b,sim_oc11_habitual_kn_h10_2_ch2_calibrated_noise5snr,157,159,159,0.6,69,12-1,12,1,NA,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_kn_h10_2_ch2_calibrated_noise5snr.wav_279,0.8,61,12-2,2,FALSE
5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_kn_h10_5_ch2_calibrated_noise5snr.wav,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_kn_h10_5_ch2_calibrated_noise5snr.wav_135,5d4a41890e604c00011ade8b,sim_oc11_habitual_kn_h10_5_ch2_calibrated_noise5snr,133,135,135,0.8,17,9-1,9,1,NA,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_kn_h10_5_ch2_calibrated_noise5snr.wav_447,1,2,9-2,2,FALSE
5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_nm_h15_1_ch2_calibrated_noise5snr.wav,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_nm_h15_1_ch2_calibrated_noise5snr.wav_105,5d4a41890e604c00011ade8b,sim_oc11_habitual_nm_h15_1_ch2_calibrated_noise5snr,103,105,105,1,6,10-1,10,1,NA,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_nm_h15_1_ch2_calibrated_noise5snr.wav_267,1,0,10-2,2,FALSE
5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_nm_h15_7_ch2_calibrated_noise5snr.wav,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_nm_h15_7_ch2_calibrated_noise5snr.wav_129,5d4a41890e604c00011ade8b,sim_oc11_habitual_nm_h15_7_ch2_calibrated_noise5snr,127,129,129,0.4,43,1-1,1,1,NA,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_nm_h15_7_ch2_calibrated_noise5snr.wav_345,0.4,68,1-2,2,FALSE
5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_nm_h15_8_ch2_calibrated_noise5snr.wav,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_nm_h15_8_ch2_calibrated_noise5snr.wav_219,5d4a41890e604c00011ade8b,sim_oc11_habitual_nm_h15_8_ch2_calibrated_noise5snr,217,219,219,0.2,78,4-1,4,1,NA,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_habitual_nm_h15_8_ch2_calibrated_noise5snr.wav_399,0.8,61,4-2,2,FALSE
5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_loud_kn_h14_7_ch2_calibrated_noise5snr.wav,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_loud_kn_h14_7_ch2_calibrated_noise5snr.wav_93,5d4a41890e604c00011ade8b,sim_oc11_loud_kn_h14_7_ch2_calibrated_noise5snr,91,93,93,0.2,89,6-1,6,1,NA,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_loud_kn_h14_7_ch2_calibrated_noise5snr.wav_405,0.4,77,6-2,2,FALSE
5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_loud_nm_h12_10_ch2_calibrated_noise5snr.wav,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_loud_nm_h12_10_ch2_calibrated_noise5snr.wav_117,5d4a41890e604c00011ade8b,sim_oc11_loud_nm_h12_10_ch2_calibrated_noise5snr,115,117,117,0.8,4,11-1,11,1,NA,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_loud_nm_h12_10_ch2_calibrated_noise5snr.wav_249,0.8,0,11-2,2,FALSE
5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_loud_nm_h12_2_ch2_calibrated_noise5snr.wav,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_loud_nm_h12_2_ch2_calibrated_noise5snr.wav_177,5d4a41890e604c00011ade8b,sim_oc11_loud_nm_h12_2_ch2_calibrated_noise5snr,175,177,177,1,5,8-1,8,1,NA,5d4a41890e604c00011ade8b ./audio/mask-recordings/playlist_08_oc11/sim_oc11_loud_nm_h12_2_ch2_calibrated_noise5snr.wav_453,1,0,8-2,2,FALSE
5d4c57f398b7a800018eb77a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_clear_kn_h14_6_ch2_calibrated_noise5snr.wav,5d4c57f398b7a800018eb77a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_clear_kn_h14_6_ch2_calibrated_noise5snr.wav_123,5d4c57f398b7a800018eb77a,sim_oc16_clear_kn_h14_6_ch2_calibrated_noise5snr,121,123,123,1,52,6-1,6,1,NA,5d4c57f398b7a800018eb77a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_clear_kn_h14_6_ch2_calibrated_noise5snr.wav_321,1,45,6-2,2,FALSE
5d4c57f398b7a800018eb77a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_habitual_kn_h3_1_ch2_calibrated_noise5snr.wav,5d4c57f398b7a800018eb77a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_habitual_kn_h3_1_ch2_calibrated_noise5snr.wav_141,5d4c57f398b7a800018eb77a,sim_oc16_habitual_kn_h3_1_ch2_calibrated_noise5snr,139,141,141,0,86,7-1,7,1,NA,5d4c57f398b7a800018eb77a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_habitual_kn_h3_1_ch2_calibrated_noise5snr.wav_411,0.8,62,7-2,2,FALSE
5d4c57f398b7a800018eb77a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_habitual_kn_h3_10_ch2_calibrated_noise5snr.wav,5d4c57f398b7a800018eb77a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_habitual_kn_h3_10_ch2_calibrated_noise5snr.wav_171,5d4c57f398b7a800018eb77a,sim_oc16_habitual_kn_h3_10_ch2_calibrated_noise5snr,169,171,171,0,91,10-1,10,1,NA,5d4c57f398b7a800018eb77a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_habitual_kn_h3_10_ch2_calibrated_noise5snr.wav_417,0.6,70,10-2,2,FALSE
5d4c57f398b7a800018eb77a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_habitual_kn_h3_9_ch2_calibrated_noise5snr.wav,5d4c57f398b7a800018eb77a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_habitual_kn_h3_9_ch2_calibrated_noise5snr.wav_93,5d4c57f398b7a800018eb77a,sim_oc16_habitual_kn_h3_9_ch2_calibrated_noise5snr,91,93,93,1,55,1-1,1,1,NA,5d4c57f398b7a800018eb77a ./audio/mask-recordings/playlist_20_oc16/sim_oc16_habitual_kn_h3_9_ch2_calibrated_noise5snr.wav_219,1,55,1-2,2,FALSE
